Name,Description,Adipose - Subcutaneous,Adipose - Visceral (Omentum),Adrenal Gland,Artery - Aorta,Artery - Coronary,Artery - Tibial,Bladder,Brain - Amygdala,Brain - Anterior cingulate cortex (BA24),Brain - Caudate (basal ganglia),Brain - Cerebellar Hemisphere,Brain - Cerebellum,Brain - Cortex,Brain - Frontal Cortex (BA9),Brain - Hippocampus,Brain - Hypothalamus,Brain - Nucleus accumbens (basal ganglia),Brain - Putamen (basal ganglia),Brain - Spinal cord (cervical c-1),Brain - Substantia nigra,Breast - Mammary Tissue,Cells - Cultured fibroblasts,Cells - EBV-transformed lymphocytes,Cervix - Ectocervix,Cervix - Endocervix,Colon - Sigmoid,Colon - Transverse,Esophagus - Gastroesophageal Junction,Esophagus - Mucosa,Esophagus - Muscularis,Fallopian Tube,Heart - Atrial Appendage,Heart - Left Ventricle,Kidney - Cortex,Kidney - Medulla,Liver,Lung,Minor Salivary Gland,Muscle - Skeletal,Nerve - Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin - Not Sun Exposed (Suprapubic),Skin - Sun Exposed (Lower leg),Small Intestine - Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
ENSG00000225630.1,MTND2P28,961.381,1024.44,949.35,328.062,497.129,363.554,518.831,1182.04,1159.95,1568,638.593,851.213,1274.95,990.895,1320.46,1213.16,1315.07,1590.86,1228.29,1439.56,902.914,180.701,207.979,370.844,427.815,826.406,777.469,814.136,335.18,798.693,510.527,1156.84,1283.4,1149.36,864.776,754.912,447.193,484.301,760.066,602.901,385.646,320.091,541.863,772.431,604.962,573.338,748.88,342.421,887.068,562.026,559.003,441.197,394.029,53.1928
ENSG00000237973.1,MTCO1P12,43.4993,42.985,106.692,27.3123,35.9636,40.5464,47.0671,130.919,126.252,110.505,55.6457,58.706,133.288,111.466,143.225,116.857,100.76,112.862,72.3035,110.767,47.0666,31.9779,34.7673,26.6322,30.2142,48.3451,86.9666,59.8361,43.5649,58.6782,44.6001,123.094,166.656,78.5993,22.1733,81.7285,40.2639,45.4998,96.7498,32.2574,26.0876,21.7038,19.0997,32.9203,63.2317,58.964,78.6331,42.9949,76.7928,37.4155,42.2673,36.8141,31.6944,9.96404
ENSG00000229344.1,MTCO2P12,11.9203,12.2361,19.5199,6.70974,9.03597,8.46567,12.1177,25.7513,27.3203,29.5354,18.1267,18.3819,25.3291,26.2614,29.0551,27.1577,26.9703,33.5292,21.7736,30.1715,11.9789,9.7155,10.4566,6.56881,6.15285,15.4518,18.9106,14.9368,10.2242,15.771,8.12362,17.8867,28.711,25.3801,19.1337,18.395,10.8425,10.3712,17.4916,9.22734,6.52603,5.53127,10.6465,13.8186,11.5762,11.5141,16.2311,8.93042,15.5969,11.3011,12.4822,8.24073,8.09262,3.78611
ENSG00000240409.1,MTATP8P1,14.4251,14.3276,20.13,8.26468,10.125,9.23906,10.4013,20.1465,21.9416,24.8731,12.5827,16.8058,22.1733,19.2035,22.6976,22.43,23.0654,24.3111,15.5972,20.8431,12.4786,6.9596,8.26545,5.90335,9.65568,13.7215,15.7029,13.6845,8.35131,13.99,8.27864,26.1971,32.3743,18.971,8.2357,18.8279,10.2603,9.18143,19.6122,9.94192,7.49489,6.30747,9.29975,14.0842,11.6613,11.6044,19.494,6.69521,16.2068,10.5128,12.4907,9.33621,7.99513,2.62958
ENSG00000248527.1,MTATP6P1,3094.72,3863.02,5489.88,1765.6,2148.56,1925.91,3143.9,6304.7,6200.39,7311.22,4122.81,4705.17,5985.95,5407.47,6663.37,6205.48,6705.67,7750.3,4830.33,6203.24,3315.77,1296.81,1603.66,1827.29,2192.9,3530.36,4082.71,3506.93,1973.84,3596.43,2258.98,6780.26,8226.45,7704.7,6697.97,5440.79,2126.46,2382.03,4812.71,2171.75,2094.18,1349.36,2602.32,3973.82,2742.51,2479.65,3801.51,2226.38,4152.67,2721.76,3005.63,2223.75,1988.23,459.197
ENSG00000198744.5,MTCO3P12,19.4564,17.819,28.2728,9.6324,12.7277,13.5249,11.3379,40.195,36.8996,30.3395,21.6284,23.0504,29.5836,32.3569,49.1331,36.3757,37.2972,31.2473,22.0626,32.9327,18.4603,8.25537,11.1408,8.53786,9.10087,16.4348,22.5556,18.5089,12.3433,18.6095,10.8236,35.7351,48.9802,40.8214,18.5747,21.4339,12.2092,14.4818,25.1295,14.0008,10.0502,6.90446,14.0288,17.2531,18.497,19.4663,20.6529,10.0425,19.8906,19.9246,19.2892,10.5966,11.6266,4.39504
ENSG00000268663.1,WBP1LP6,0,0,0.0530494,0,0,0,0,0.0729303,0.0625403,0.0561309,0,0,0.0600053,0.0591017,0.0680873,0.0646099,0.0667593,0.0589403,0,0.0580396,0,0,0,0,0,0,0,0,0,0,0,0.0565636,0.0666622,0.043107,0.025407,0.0568998,0,0,0.0492536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273547.1,OR4F16,0.0238208,0.0308665,0.0343507,0,0,0,0,0.0367434,0.0472291,0.0389992,0.0283004,0.029331,0.041507,0.0467198,0.0521948,0.0431756,0.0570243,0.0478165,0.034865,0.0466089,0.0342378,0,0.0243536,0,0.0472334,0.0337378,0.0326854,0.0247329,0,0,0,0.0381103,0.0443832,0.0352939,0,0.0331044,0,0,0.036899,0,0,0,0,0,0.0336622,0.0285813,0.0280892,0,0.035166,0,0,0,0,0
ENSG00000283574.1,RP11-206L10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229376.3,CICP3,0.109391,0.112597,0.129228,0.106744,0.139513,0.0958346,0.116437,0.112932,0.114846,0.13547,0.275355,0.372917,0.146287,0.133827,0.121364,0.142696,0.175556,0.115885,0.119387,0.101911,0.118447,0.0890602,0.18157,0.112163,0.217402,0.139431,0.122255,0.136356,0.0892881,0.117683,0.150634,0.116862,0.115884,0.0921279,0.0806422,0.151897,0.0950602,0.130056,0.104651,0.238444,0.2483,0.0750721,0.384186,0.165372,0.0964484,0.0940304,0.131107,0.0879867,0.140161,0.363822,0.229173,0.181097,0.153664,0.0265831
ENSG00000228327.3,RP11-206L10.2,2.83777,1.90193,1.76607,1.97782,2.03347,2.06085,2.81332,0.451357,0.453407,0.573615,1.78523,2.21476,0.767048,0.621634,0.535358,0.682738,0.59671,0.463462,0.866576,0.580468,2.70434,1.83396,2.64433,2.15903,3.0409,2.48153,1.81571,2.26097,1.75948,2.21626,2.39967,0.963909,0.547191,1.21106,1.81817,1.11465,2.46406,2.0282,0.697079,3.89851,4.09246,1.06068,3.58942,3.44655,2.90756,3.2434,2.34623,2.80499,1.71761,11.976,4.27429,3.12726,2.48912,1.93888
ENSG00000223181.1,RNU6-1199P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229905.1,RP11-206L10.4,0,0,0.0495128,0,0,0,0,0.0572001,0.0521508,0.0541075,0,0,0.0651625,0.0612988,0.065583,0.0645606,0.057026,0.0526428,0.0471061,0.0543822,0,0,0,0,0,0,0,0,0,0,0,0.0606036,0.0700903,0.0582248,0,0.0534193,0,0,0.05183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237491.8,RP11-206L10.9,0.592656,0.394613,0.359335,0.759331,0.754283,0.771503,0.641557,0.372043,0.427529,0.501102,2.54668,2.60736,0.573038,0.57201,0.429235,0.534395,0.594027,0.433764,0.48752,0.34027,0.575761,0.527461,1.09659,0.855913,1.46594,0.699841,0.766481,0.567584,0.496014,0.540237,0.822508,0.286751,0.242767,0.347058,0.760559,0.389295,0.687073,0.781722,0.262503,1.5109,1.05072,0.264799,2.33627,0.917624,0.811547,0.935635,0.764207,0.885304,0.500191,4.03599,1.17266,1.14816,0.792554,0.108981
ENSG00000230092.7,RP11-206L10.8,1.51905,0.878975,0.910677,1.2325,1.2435,1.54795,0.996388,0.325989,0.383922,0.40994,1.07456,1.24226,0.425052,0.407032,0.376882,0.480742,0.489239,0.29269,0.447018,0.340811,1.42746,1.32272,1.88273,1.49039,1.44131,1.06556,1.06443,1.09155,0.852061,1.03762,1.48773,0.490769,0.363206,0.542002,0.672022,0.417471,1.22088,1.5354,0.657932,2.0089,1.30294,0.56623,1.47092,1.64887,1.98429,2.25171,1.55611,1.47003,0.957307,2.38312,1.81637,1.61903,1.37989,0.518276
ENSG00000177757.2,FAM87B,1.91972,0.871018,1.24982,1.25164,0.979633,1.87073,0.833655,0.231738,0.219165,0.240974,1.2659,1.63454,0.239533,0.227078,0.211438,0.332752,0.278206,0.219674,0.28586,0.213814,0.951068,0.926604,0.513142,0.88993,0.833322,0.615245,0.512477,0.668043,0.320953,0.48962,0.959181,0.3692,0.19533,0.264362,0.191434,0.138227,0.5661,0.594506,0.245525,1.24288,0.783862,0.149052,0.725084,0.714588,0.72338,0.95519,0.496099,0.315437,0.388914,1.52712,0.897431,0.818511,0.721229,0.0748165
